Rname	Pos	Depth	Median_size	Starts	Starts_median_size	Starts_AS_median	Starts_sum_reads
1	160863	6	29785.5	6	15338.5	-6.0	189
1	161356	33	9753.0	13	4284.0	-6.0	91
1	467119	39	15710.0	4	5446.0	-7.5	92
1	940204	13	56478.0	18	36257.0	-10.0	485
1	1165800	10	45860.0	7	16083.0	-10.0	191
2	345423	35	24022.0	4	21551.5	-11.5	76
3	54056	36	15282.5	9	15104.0	-6.0	339
3	453179	38	5113.5	6	20551.0	-3.5	140
3	518127	18	18873.0	4	22516.5	-14.5	106
3	784117	46	12715.0	14	5352.0	-10.75	168
3	945017	33	8034.0	5	2784.0	-14.0	49
4	108910	13	8479.0	8	6674.0	-5.0	111
5	197558	22	11974.5	12	12148.5	-6.0	316
5	222930	26	12464.0	18	11466.5	-7.25	372
5	223404	18	10150.5	4	9837.5	-2.5	104
5	398391	36	15249.5	4	3744.5	-23.0	78
7	49320	45	16862.0	5	8137.0	-14.0	99
7	130802	47	21185.0	4	12900.0	-3.0	118
13	42280	46	16795.5	20	41022.0	-9.0	328
14	20842	11	21811.0	24	12498.5	-3.5	621
14	20941	20	16184.0	5	3791.0	-6.0	98
